Rank,Keyword,Mentions
1,founder,14
2,startup,12
3,inflation,6
4,funding,6
5,heritage,5
6,community,3
7,identity,3
8,tribal,2
9,Reliance,2
10,Apple,2
11,Series A,2
12,distribution,1
13,pricing,1
14,manufacturing,1
15,exports,1
16,rupee,1
17,handloom,1
18,traditional,1
19,artisan,1
20,Nicobar,1
21,status,1
22,scarcity,1
23,ESG,1
