Rank,Keyword,Mentions
1,startup,11
2,D2C,7
3,inflation,6
4,Apple,6
5,tribal,5
6,founder,4
7,D2C brand,3
8,distribution,2
9,rupee,2
10,Tata,2
11,Mahindra,2
12,unicorn,2
13,funding,2
14,profitability,2
15,status,2
16,pricing,1
17,community,1
18,manufacturing,1
19,MSME,1
20,traditional,1
21,Ayurveda,1
22,Reliance,1
23,venture capital,1
24,luxury,1
