Rank,Keyword,Mentions
1,startup,22
2,Apple,11
3,funding,11
4,founder,10
5,Adani,7
6,carbon,7
7,pricing,6
8,community,4
9,traditional,4
10,Nike,4
11,Series A,4
12,manufacturing,3
13,heritage,3
14,artisan,3
15,Mahindra,3
16,MSME,2
17,Reliance,2
18,waste management,2
19,counterfeit,1
20,exports,1
21,inflation,1
22,tribal,1
23,Tata,1
24,unicorn,1
25,venture capital,1
26,profitability,1
27,identity,1
28,status,1
29,aspiration,1
