Rank,Keyword,Mentions
1,funding,26
2,startup,25
3,Apple,10
4,founder,9
5,recycling,8
6,community,7
7,Series A,7
8,traditional,5
9,manufacturing,4
10,inflation,4
11,D2C,4
12,identity,4
13,plastic waste,4
14,waste management,4
15,carbon,4
16,pricing,3
17,rupee,3
18,distribution,2
19,exports,2
20,tribal,2
21,ghee,2
22,venture capital,2
23,profitability,2
24,nostalgia,2
25,Make in India,1
26,MSME,1
27,heritage,1
28,mahua,1
29,Starbucks,1
30,unicorn,1
31,seed round,1
32,status,1
33,aspiration,1
