Rank,Keyword,Mentions
1,startup,24
2,funding,17
3,distribution,8
4,founder,7
5,status,7
6,Tata,6
7,heritage,5
8,inflation,4
9,Apple,4
10,profitability,4
11,identity,4
12,pricing,3
13,traditional,3
14,luxury,3
15,counterfeit,2
16,community,2
17,manufacturing,2
18,exports,2
19,seed round,2
20,recycling,2
21,Ayurveda,1
22,tribal,1
23,Reliance,1
24,Dior,1
25,D2C,1
26,unicorn,1
27,carbon,1
