Rank,Keyword,Mentions
1,startup,27
2,funding,14
3,founder,11
4,Apple,10
5,traditional,7
6,exports,6
7,status,6
8,carbon,6
9,Tata,5
10,distribution,4
11,pricing,4
12,community,4
13,manufacturing,3
14,heritage,3
15,identity,3
16,rupee,2
17,Reliance,2
18,nostalgia,2
19,luxury,2
20,Make in India,1
21,inflation,1
22,tribal,1
23,Nike,1
24,Adidas,1
25,bootstrapped,1
26,seed round,1
27,scarcity,1
