Rank,Keyword,Mentions
1,startup,44
2,funding,20
3,founder,14
4,heritage,13
5,community,10
6,Apple,10
7,inflation,8
8,Nike,7
9,Series A,6
10,rupee,5
11,Tata,5
12,Starbucks,5
13,manufacturing,3
14,recycling,3
15,pricing,2
16,handloom,2
17,Adani,2
18,bootstrapped,2
19,seed round,2
20,exports,1
21,MSME,1
22,artisan,1
23,spices,1
24,Comet,1
25,Mahindra,1
26,Adidas,1
27,venture capital,1
28,identity,1
29,luxury,1
30,climate tech,1
31,case study,1
32,marketing campaign,1
