Rank,Keyword,Mentions
1,startup,32
2,funding,28
3,inflation,10
4,founder,10
5,manufacturing,9
6,exports,7
7,Series A,7
8,pricing,6
9,Reliance,6
10,recycling,6
11,community,5
12,Apple,5
13,identity,5
14,rupee,3
15,traditional,3
16,jaggery,3
17,Starbucks,3
18,unicorn,3
19,tribal,2
20,Tata,2
21,Mahindra,2
22,plastic waste,2
23,waste management,2
24,positioning,1
25,distribution,1
26,go-to-market,1
27,Make in India,1
28,saree,1
29,Adidas,1
30,venture capital,1
31,seed round,1
32,status,1
33,luxury,1
