Rank,Keyword,Mentions
1,startup,31
2,funding,22
3,Apple,16
4,traditional,9
5,founder,9
6,luxury,8
7,manufacturing,6
8,Nicobar,5
9,Reliance,5
10,profitability,5
11,tribal,4
12,carbon,4
13,positioning,3
14,distribution,3
15,Tata,3
16,pricing,2
17,community,2
18,inflation,2
19,Adidas,2
20,bootstrapped,2
21,seed round,2
22,nostalgia,2
23,identity,2
24,status,2
25,Make in India,1
26,middle class,1
27,artisan,1
28,venture capital,1
29,Series A,1
30,plastic waste,1
31,ESG,1
