Rank,Keyword,Mentions
1,startup,37
2,Mahindra,20
3,funding,19
4,founder,14
5,manufacturing,9
6,unicorn,5
7,traditional,4
8,identity,4
9,rupee,3
10,Adidas,3
11,Apple,3
12,IKEA,3
13,Series A,3
14,profitability,3
15,status,3
16,luxury,3
17,positioning,2
18,distribution,2
19,pricing,2
20,community,2
21,MSME,2
22,GDP,2
23,inflation,2
24,artisan,2
25,Tata,2
26,bootstrapped,2
27,seed round,2
28,go-to-market,1
29,middle class,1
30,spices,1
31,ghee,1
32,Reliance,1
33,nostalgia,1
34,plastic waste,1
35,carbon,1
