Rank,Keyword,Mentions
1,startup,18
2,founder,18
3,rupee,7
4,funding,6
5,community,5
6,tribal,5
7,pricing,4
8,traditional,4
9,Nike,4
10,manufacturing,3
11,inflation,3
12,Apple,3
13,bootstrapped,2
14,status,2
15,aspiration,2
16,waste management,2
17,positioning,1
18,exports,1
19,Tata,1
20,Reliance,1
21,unicorn,1
22,venture capital,1
23,identity,1
24,luxury,1
25,tribe,1
