Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,6,A Forest That Sings: How Sikkim’s Bamboo & Wood Become Traditional Lepcha Instruments,The Better India,,gi tag|geographical indication,"core: gi tag, geographical indication",https://thebetterindia.com/conservation/nature/tungbuk-pumtong-pulit-sikkim-lepcha-music-forests-12405609
2,3,This IAS Officer Is Taking on Food Adulteration,The Better India,quality_failure,,[quality_failure] “Adulteration”,https://thebetterindia.com/videos/society/this-ias-officer-is-taking-on-food-adulteration-12418905
