Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,12,This 300-YO Tamil Nadu Craft Is Finding New Life After a 26-YO Built a Market With 30 Weavers,The Better India,,artisans|gi tag|geographical indication|handloom,"core: artisans, gi tag, geographical indication, handloom",https://thebetterindia.com/culture/varsha-sivakumar-saving-bhavani-jamakkalam-weave-tamil-nadu-12568487
2,3,"Ultraviolette raises $85 mn to expand EV production, enter US market",Business Standard Companies,global_debut,,[global_debut] “enter US market”,https://www.business-standard.com/companies/news/ultraviolette-raises-85-million-to-expand-ev-production-enter-us-126092300692_1.html
3,3,Blind Artist Creates Ganesha & Shiva Idols by Touch,The Better India,,handmade,core: handmade,https://thebetterindia.com/videos/hobby/blind-artist-creates-ganesha-shiva-idols-by-touch-12566474
