Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,17,She Turned a Ban on Wedding Embroidery Into Colourful Bags Supporting 300 Women Artisans,The Better India,,artisan|artisans|handmade|traditional craft|embroidery,"core: artisan, artisans, handmade, traditional craft",https://thebetterindia.com/startup/pabiben-rabari-hari-jari-craft-embroidery-brand-kutch-gujarat-12260232
2,3,Watch all four gold medal triumphs from Amy Hunt's historic European Championships,BBC News,award_win,,[award_win] “gold medal”,https://www.bbc.co.uk/sport/athletics/videos/cvgjye6dpgpo?at_medium=RSS&at_campaign=rss
