Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,19,The Indian Craft Behind Fendi’s ₹9.5 Lakh Bag,The Better India,,indian craft|craftsmanship|artisans|traditional craft|traditional crafts|embroidery,"core: indian craft, craftsmanship, artisans, traditional craft",https://thebetterindia.com/videos/fashion/the-indian-craft-behind-fendis-95-lakh-bag-12550035
2,4,Design with purpose: How Jaipur’s Saraswati Rugs places Indian craft on the global map,YourStory,,indian craft,core: indian craft,https://yourstory.com/2026/09/design-purpose-jaipur-saraswati-rugs-creativity-photography
3,3,"Nestle India faces FSSAI action over '5 HMOs', 'easy-to-digest' whey claims in baby food",ET Retail,quality_failure,,[quality_failure] “FSSAI action”,https://retail.economictimes.indiatimes.com/news/food-entertainment/personal-care-pet-supplies-liquor/nestle-india-faces-fssai-action-over-5-hmos-easy-to-digest-whey-claims-in-baby-food/134330623
4,3,"‘Adherence to regulations’: Nestle India responds to FSSAI action over infant food products – NAN Excella, Lactogen Pro",Mint Companies,quality_failure,,[quality_failure] “FSSAI action”,https://www.livemint.com/companies/news/adherence-to-regulations-nestle-india-responds-to-fssai-action-over-infant-food-products-nan-excella-lactogen-pro-11789735275573.html
5,3,"Nestle India faces FSSAI action over infant products, promotional claims",India Today,quality_failure,,[quality_failure] “FSSAI action”,https://www.indiatoday.in/health/story/fssai-acts-against-nestle-india-infant-food-products-promotional-claims-sub-standard-2997550-2026-09-18?utm_source=rss
6,3,A Date With History: 8 Heritage Walks That Should Be on Your Vacation List,The Better India,,artisans,core: artisans,https://thebetterindia.com/328967/heritage-walks-in-india-shillong-mumbai-bengaluru-hyderabad-delhi-travel/
7,3,Used Temple Flowers Turn Into Incense Sticks & Biomaterials: Here’s How These Startups Recycle Floral Waste,The Better India,,handcrafted,core: handcrafted,https://thebetterindia.com/startup/temple-flower-waste-incense-sticks-biomaterials-indian-startups-12544722
8,3,Introducing – The Kurono Tokyo Calendrier “Small Batch Release” in Saxe Blue,Monochrome Watches,,handmade,core: handmade,https://monochrome-watches.com/kurono-tokyo-calendrier-small-batch-release-smb-saxe-blue-dial-introducing-price/
