Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,13,How Your Phone Can Give India’s Small Artisans a Marketplace Beyond Their Towns,The Better India,,artisan|artisans|handmade|embroidery,"core: artisan, artisans, handmade, embroidery",https://thebetterindia.com/technology/digital-marketplaces-indian-small-sellers-pabiben-rabari-khurja-pottery-technology-india-12534277
2,7,How Assam’s Artisans Turn One Bamboo Plant Into Hundreds of Things We Use Every Day,The Better India,,artisan|artisans,"core: artisan, artisans",https://thebetterindia.com/sustainability/bamboo-uses-india-assam-artisans-livelihoods-1-plant-100-uses-chair-furniture-home-decor-12536557
3,4,From 400-Year-Old Crafts To Handwoven Art: Inside an Airport Inspired by Andhra’s Local Culture,The Better India,,handwoven,core: handwoven,https://thebetterindia.com/culture/bhogapuram-airport-andhra-pradesh-traditional-crafts-art-culture-design-12541387
4,3,Swiss watchmaker Oris to double India business by 2030 as demand surges,ET Retail,,craftsmanship,core: craftsmanship,https://retail.economictimes.indiatimes.com/news/apparel-fashion/luxury/swiss-watchmaker-oris-to-double-india-business-by-2030-as-demand-surges/134255962
