Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,4,From 400-Year-Old Crafts To Handwoven Art: Inside an Airport Inspired by Andhra’s Local Culture,The Better India,,handwoven,core: handwoven,https://thebetterindia.com/culture/bhogapuram-airport-andhra-pradesh-traditional-crafts-art-culture-design-12541387
2,3,Used Temple Flowers Turn Into Incense Sticks & Biomaterials: Here’s How These Startups Recycle Floral Waste,The Better India,,handcrafted,core: handcrafted,https://thebetterindia.com/startup/temple-flower-waste-incense-sticks-biomaterials-indian-startups-12544722
3,3,Introducing – The Kurono Tokyo Calendrier “Small Batch Release” in Saxe Blue,Monochrome Watches,,handmade,core: handmade,https://monochrome-watches.com/kurono-tokyo-calendrier-small-batch-release-smb-saxe-blue-dial-introducing-price/
