Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,3,NCLT Orders Status Quo On BYJU’S Assets Sold For ₹16 Cr,Inc42,record_sale,,[record_sale] “Sold For ₹16 Cr”,https://inc42.com/buzz/nclt-orders-status-quo-on-byjus-assets-sold-for-%e2%82%b916-cr/
2,3,Indigo Was Once Forced on Indian Farmers. Here Is How It Changed the Course of India’s Freedom Struggle,The Better India,,artisans,core: artisans,https://thebetterindia.com/culture/india-blue-gold-indigo-symbol-of-resistance-12488067
3,3,Tamil Nadu's 70-YO Palmyra Tree Climbers Find New Income Through a Professor's Tourism Trails,The Better India,,artisans,core: artisans,https://thebetterindia.com/sustainability/palmyra-tree-tourism-tamil-nadu-conservation-12487865
