Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,4,"She Started Nursing 53 Years Ago. At 80, This Lakshadweep Nurse Is a Global Top 10 Finalist",The Better India,award_win,,[award_win] “International Nursing Award”,https://thebetterindia.com/health-care/lakshadweep-nurse-hindumbi-kaurom-kakkada-aster-guardians-award-12505654
2,3,FSSAI crackdown pushes restaurants to get kitchens in order,Mint Companies,quality_failure,,[quality_failure] “adulteration”,https://www.livemint.com/companies/news/fssai-food-safety-crackdown-restaurants-india-hygiene-11788798682231.html
3,3,This Red-Ant Chutney Has Different Names Across India. Gordon Ramsay Just Put It in the Spotlight,The Better India,,geographical indication,core: geographical indication,https://thebetterindia.com/conservation/nature/gordon-ramsay-red-ant-chutney-indigenous-food-india-12506606
