Rank,Score,Title,Source,Triggers,CoreTerms,Why,Link
1,13,How Your Phone Can Give India’s Small Artisans a Marketplace Beyond Their Towns,The Better India,,artisan|artisans|handmade|embroidery,"core: artisan, artisans, handmade, embroidery",https://thebetterindia.com/technology/digital-marketplaces-indian-small-sellers-pabiben-rabari-khurja-pottery-technology-india-12534277
2,7,How Assam’s Artisans Turn One Bamboo Plant Into Hundreds of Things We Use Every Day,The Better India,,artisan|artisans,"core: artisan, artisans",https://thebetterindia.com/sustainability/bamboo-uses-india-assam-artisans-livelihoods-1-plant-100-uses-chair-furniture-home-decor-12536557
3,3,"First Look – The new Venezianico Redentore Levius, Italian Power and Titanium Case",Monochrome Watches,,craftsmanship,core: craftsmanship,https://monochrome-watches.com/venezianico-redentore-levius-italian-made-movement-titanium-case-guilloche-dial-review-price/
